Symbolic-Compositional Best-Effort Synthesizer,unrgoal_7.ltlf,env_8.ltlf,Agent,0.999,0.001,0,0,1,Unr
Symbolic-Compositional Best-Effort Synthesizer,unrgoal_7.ltlf,env_9.ltlf,Agent,1.014,0.001,0,0,1.015,Unr
Symbolic-Compositional Best-Effort Synthesizer,unrgoal_7.ltlf,env_10.ltlf,Agent,0.981,0.001,0,0,0.982,Unr
Symbolic-Compositional Best-Effort Synthesizer,unrgoal_8.ltlf,env_1.ltlf,Agent,1.412,0.001,0,0,1.413,Unr
Symbolic-Compositional Best-Effort Synthesizer,unrgoal_8.ltlf,env_2.ltlf,Agent,1.416,0.001,0,0,1.417,Unr
Symbolic-Compositional Best-Effort Synthesizer,unrgoal_8.ltlf,env_3.ltlf,Agent,1.361,0.001,0,0,1.362,Unr
Symbolic-Compositional Best-Effort Synthesizer,unrgoal_8.ltlf,env_4.ltlf,Agent,1.397,0.001,0,0,1.398,Unr
Symbolic-Compositional Best-Effort Synthesizer,unrgoal_8.ltlf,env_5.ltlf,Agent,1.395,0.001,0,0,1.396,Unr
Symbolic-Compositional Best-Effort Synthesizer,unrgoal_8.ltlf,env_6.ltlf,Agent,1.419,0.001,0,0,1.42,Unr
Symbolic-Compositional Best-Effort Synthesizer,unrgoal_8.ltlf,env_7.ltlf,Agent,1.409,0.001,0,0,1.41,Unr
Symbolic-Compositional Best-Effort Synthesizer,unrgoal_8.ltlf,env_8.ltlf,Agent,1.353,0.001,0,0,1.354,Unr
Symbolic-Compositional Best-Effort Synthesizer,unrgoal_8.ltlf,env_9.ltlf,Agent,1.414,0.001,0,0,1.415,Unr
Symbolic-Compositional Best-Effort Synthesizer,unrgoal_8.ltlf,env_10.ltlf,Agent,1.434,0.001,0,0,1.435,Unr
